state,date,death,hospitalized,positive
MA,2020-09-28,9415,12648,131072
MD,2020-09-28,3938,15428,123880
ME,2020-09-28,140,446,5300
MI,2020-09-28,7051,,135702
MN,2020-09-28,2067,7546,97638
MO,2020-09-28,2064,,124686
MP,2020-09-28,2,4,70
MS,2020-09-28,2921,5844,97049
MT,2020-09-28,174,698,12413
NC,2020-09-28,3445,,208248
ND,2020-09-28,237,828,20940
NE,2020-09-28,470,2280,44063
NH,2020-09-28,439,737,8208
NJ,2020-09-28,16103,23338,209085
NM,2020-09-28,873,3463,28985
NV,2020-09-28,1585,,79191
NY,2020-09-28,25468,,456460
OH,2020-09-28,4746,15307,151802
OK,2020-09-28,1007,6273,85194
OR,2020-09-28,547,2496,32820
PA,2020-09-28,8107,,156826
PR,2020-09-28,648,,23357
RI,2020-09-28,1110,2725,24424
SC,2020-09-28,3337,9065,146455
SD,2020-09-28,218,1488,21738
TN,2020-09-28,2389,8619,193732
TX,2020-09-28,15533,,739222
UT,2020-09-28,453,3757,71442
VA,2020-09-28,3172,10916,146593
VI,2020-09-28,19,,1317
VT,2020-09-28,58,,1749
WA,2020-09-28,2100,7455,88761
WI,2020-09-28,1293,7142,124217
WV,2020-09-28,337,,15512
WY,2020-09-28,50,264,5754
AK,2020-09-27,56,308,7549
AL,2020-09-27,2501,16852,152321
AR,2020-09-27,1308,5235,81242
AS,2020-09-27,0,,0
AZ,2020-09-27,5623,22015,217237
CA,2020-09-27,15587,,802308
CO,2020-09-27,2041,7523,69079
CT,2020-09-27,4501,11560,56587
DC,2020-09-27,624,,15250
DE,2020-09-27,633,,20260
FL,2020-09-27,14202,44030,692234
GA,2020-09-27,6946,28179,314685
GU,2020-09-27,43,,2354
HI,2020-09-27,131,802,12197
IA,2020-09-27,1314,,83636
ID,2020-09-27,460,1811,40296
IL,2020-09-27,8845,,290419
IN,2020-09-27,3580,12596,117450
KS,2020-09-27,632,2816,56592
KY,2020-09-27,1157,5193,66491
LA,2020-09-27,5465,,166075
MA,2020-09-27,9404,12645,130642
MD,2020-09-27,3935,15398,123403
ME,2020-09-27,140,445,5288
MI,2020-09-27,7044,,134373
MN,2020-09-27,2060,7493,96734
MO,2020-09-27,2063,,123406
MP,2020-09-27,2,4,70
MS,2020-09-27,2919,5607,96859
MT,2020-09-27,173,687,12107
NC,2020-09-27,3441,,207380
ND,2020-09-27,234,815,20681
NE,2020-09-27,469,2279,43596
NH,2020-09-27,439,736,8172
NJ,2020-09-27,16105,23327,208466
NM,2020-09-27,870,3443,28844
NV,2020-09-27,1585,,78728
NY,2020-09-27,25456,,455626
OH,2020-09-27,4741,15216,150809
OK,2020-09-27,1004,6252,83510
OR,2020-09-27,546,2496,32581
PA,2020-09-27,8106,,156150
PR,2020-09-27,644,,22697
RI,2020-09-27,1110,2725,24398
SC,2020-09-27,3326,9043,145887
SD,2020-09-27,218,1473,21541
TN,2020-09-27,2377,8577,192995
TX,2020-09-27,15522,,735132
UT,2020-09-27,453,3729,70615
VA,2020-09-27,3159,10889,146144
VI,2020-09-27,19,,1317
VT,2020-09-27,58,,1746
WA,2020-09-27,2100,7431,88433
WI,2020-09-27,1291,7095,122478
WV,2020-09-27,334,,15348
WY,2020-09-27,50,262,5633
AK,2020-09-26,52,304,7439
AL,2020-09-26,2501,16852,151591
AR,2020-09-26,1285,5202,80755
AS,2020-09-26,0,,0
AZ,2020-09-26,5622,22005,216826
CA,2020-09-26,15532,,798237
CO,2020-09-26,2040,7520,68510
CT,2020-09-26,4501,11560,56587
DC,2020-09-26,624,,15215
DE,2020-09-26,633,,20156
FL,2020-09-26,14190,43964,690387
GA,2020-09-26,6914,28153,313873
GU,2020-09-26,43,,2354
HI,2020-09-26,127,787,12070
IA,2020-09-26,1311,,82944
ID,2020-09-26,458,1795,39757
IL,2020-09-26,8832,,288815
IN,2020-09-26,3577,12521,116549
KS,2020-09-26,632,2816,56592
KY,2020-09-26,1154,5193,66036
LA,2020-09-26,5444,,165152
MA,2020-09-26,9391,12637,130050
MD,2020-09-26,3925,15382,122972
ME,2020-09-26,140,443,5260
MI,2020-09-26,7044,,134373
MN,2020-09-26,2056,7443,95659
MO,2020-09-26,2063,,122014
MP,2020-09-26,2,4,69
MS,2020-09-26,2911,5607,96677
MT,2020-09-26,171,684,11907
NC,2020-09-26,3440,,206090
ND,2020-09-26,230,809,20340
NE,2020-09-26,468,2276,43162
NH,2020-09-26,439,734,8121
NJ,2020-09-26,16099,23324,207706
NM,2020-09-26,870,3435,28692
NV,2020-09-26,1582,,78355
NY,2020-09-26,25450,,454760
OH,2020-09-26,4740,15185,150009
OK,2020-09-26,1004,6252,83510
OR,2020-09-26,542,2496,32314
PA,2020-09-26,8103,,155232
PR,2020-09-26,642,,22164
RI,2020-09-26,1110,2725,24284
SC,2020-09-26,3323,9028,145273
SD,2020-09-26,218,1434,21133
TN,2020-09-26,2374,8528,190891
TX,2020-09-26,15485,,733438
UT,2020-09-26,448,3702,69547
VA,2020-09-26,3144,10863,145408
VI,2020-09-26,19,,1296
VT,2020-09-26,58,,1744
WA,2020-09-26,2100,7412,87912
WI,2020-09-26,1291,7041,120231
WV,2020-09-26,332,,15158
WY,2020-09-26,50,258,5465
AK,2020-09-25,51,302,7320
AL,2020-09-25,2491,16852,150658
AR,2020-09-25,1266,5202,79946
AS,2020-09-25,0,,0
AZ,2020-09-25,5587,21972,216367
CA,2020-09-25,15398,,794040
CO,2020-09-25,2037,7479,67926
CT,2020-09-25,4501,11560,56587
DC,2020-09-25,623,,15163
DE,2020-09-25,631,,20085
FL,2020-09-25,14083,43793,687656
GA,2020-09-25,6874,28035,312514
GU,2020-09-25,41,,2286
HI,2020-09-25,124,779,11938
IA,2020-09-25,1307,,82045
ID,2020-09-25,457,1766,39234
IL,2020-09-25,8807,,286374
IN,2020-09-25,3566,12463,115407
KS,2020-09-25,632,2816,56592
KY,2020-09-25,1149,5147,65066
LA,2020-09-25,5444,,165152
MA,2020-09-25,9373,12619,129481
MD,2020-09-25,3917,15328,122359
ME,2020-09-25,140,442,5235
MI,2020-09-25,7027,,133377
MN,2020-09-25,2046,7391,94189
MO,2020-09-25,1994,,120298
MP,2020-09-25,2,4,69
MS,2020-09-25,2894,5607,96032
MT,2020-09-25,170,675,11564
NC,2020-09-25,3409,,204331
ND,2020-09-25,222,789,19843
NE,2020-09-25,462,2259,42731
NH,2020-09-25,438,743,8085
NJ,2020-09-25,16093,23285,206877
NM,2020-09-25,865,3420,28487
NV,2020-09-25,1573,,77753
NY,2020-09-25,25446,,453755
OH,2020-09-25,4734,15127,148894
OK,2020-09-25,993,6192,82520
OR,2020-09-25,539,2468,31865
PA,2020-09-25,8081,,154203
PR,2020-09-25,635,,21868
RI,2020-09-25,1107,2725,24181
SC,2020-09-25,3297,8994,143902
SD,2020-09-25,216,1400,20554
TN,2020-09-25,2352,8477,189454
TX,2020-09-25,15364,,728552
UT,2020-09-25,448,3668,68530
VA,2020-09-25,3136,10806,144433
VI,2020-09-25,19,,1296
VT,2020-09-25,58,,1734
WA,2020-09-25,2080,7357,87324
WI,2020-09-25,1284,6962,117329
WV,2020-09-25,330,,14953
WY,2020-09-25,50,256,5420
AK,2020-09-24,45,300,7194
AL,2020-09-24,2506,16778,148206
AR,2020-09-24,1246,5160,79049
AS,2020-09-24,0,,0
AZ,2020-09-24,5559,21942,215852
CA,2020-09-24,15314,,790640
CO,2020-09-24,2033,7454,67217
CT,2020-09-24,4499,11560,56472
DC,2020-09-24,621,,15106
DE,2020-09-24,630,,19947
FL,2020-09-24,13961,43621,684847
GA,2020-09-24,6822,27903,311046
GU,2020-09-24,38,,2263
HI,2020-09-24,122,763,11848
IA,2020-09-24,1302,,81071
ID,2020-09-24,454,1754,38743
IL,2020-09-24,8774,,283569
IN,2020-09-24,3548,12388,114236
KS,2020-09-24,621,2766,55226
KY,2020-09-24,1137,5119,64158
LA,2020-09-24,5423,,164446
MA,2020-09-24,9362,12606,128993
MD,2020-09-24,3909,15299,121800
ME,2020-09-24,140,442,5215
MI,2020-09-24,7019,,132337
MN,2020-09-24,2040,7335,93012
MO,2020-09-24,1952,,118311
MP,2020-09-24,2,4,69
MS,2020-09-24,2874,5607,95310
MT,2020-09-24,165,650,11242
NC,2020-09-24,3356,,198189
ND,2020-09-24,216,777,19412
NE,2020-09-24,462,2247,42278
NH,2020-09-24,438,732,8044
NJ,2020-09-24,16087,23252,206250
NM,2020-09-24,859,3402,28224
NV,2020-09-24,1564,,77197
NY,2020-09-24,25439,,452847
OH,2020-09-24,4715,15051,147744
OK,2020-09-24,981,6130,81244
OR,2020-09-24,538,2438,31503
PA,2020-09-24,8079,,153397
PR,2020-09-24,627,,21156
RI,2020-09-24,1106,2725,24311
SC,2020-09-24,3279,8945,142707
SD,2020-09-24,210,1375,20097
TN,2020-09-24,2310,8413,187544
TX,2020-09-24,15267,,723919
UT,2020-09-24,444,3619,67119
VA,2020-09-24,3113,10769,143492
VI,2020-09-24,19,,1290
VT,2020-09-24,58,,1727
WA,2020-09-24,2081,7349,86729
WI,2020-09-24,1275,6897,114700
WV,2020-09-24,325,,14706
WY,2020-09-24,50,255,5305
AK,2020-09-23,45,296,7063
AL,2020-09-23,2488,16698,147153
AR,2020-09-23,1229,5098,77963
AS,2020-09-23,0,,0
AZ,2020-09-23,5525,21925,215284
CA,2020-09-23,15204,,787470
CO,2020-09-23,2030,7444,66669
CT,2020-09-23,4497,11447,56315
DC,2020-09-23,621,,15050
DE,2020-09-23,629,,19830
FL,2020-09-23,13782,43433,682370
GA,2020-09-23,6773,27749,309678
GU,2020-09-23,37,,2235
HI,2020-09-23,120,749,11681
IA,2020-09-23,1294,,79923
ID,2020-09-23,451,1740,38347
IL,2020-09-23,8744,,281312
IN,2020-09-23,3530,12312,113337
KS,2020-09-23,621,2766,55226
KY,2020-09-23,1124,5095,63517
LA,2020-09-23,5407,,163869
MA,2020-09-23,9347,12592,128512
MD,2020-09-23,3902,15268,121297
ME,2020-09-23,140,441,5171
MI,2020-09-23,7013,,131259
MN,2020-09-23,2037,7303,92100
MO,2020-09-23,1947,,116946
MP,2020-09-23,2,4,69
MS,2020-09-23,2870,5607,94573
MT,2020-09-23,165,601,10912
NC,2020-09-23,3316,,196501
ND,2020-09-23,206,763,18945
NE,2020-09-23,461,2214,41785
NH,2020-09-23,438,728,8007
NJ,2020-09-23,16078,23215,205606
NM,2020-09-23,857,3388,27987
NV,2020-09-23,1556,,76807
NY,2020-09-23,25437,,451892
OH,2020-09-23,4687,14977,146753
OK,2020-09-23,970,6057,80161
OR,2020-09-23,532,2419,31313
PA,2020-09-23,8062,,152544
PR,2020-09-23,617,,20439
RI,2020-09-23,1102,2713,24177
SC,2020-09-23,3262,8906,141686
SD,2020-09-23,202,1367,19634
TN,2020-09-23,2275,8338,186709
TX,2020-09-23,15129,,719599
UT,2020-09-23,444,3584,65921
VA,2020-09-23,3089,10718,142590
VI,2020-09-23,19,,1278
VT,2020-09-23,58,,1725
WA,2020-09-23,2070,7314,86130
WI,2020-09-23,1268,6821,112222
WV,2020-09-23,319,,14504
WY,2020-09-23,50,253,5169
AK,2020-09-22,45,295,6987
AL,2020-09-22,2457,16604,146584
AR,2020-09-22,1209,5055,76981
AS,2020-09-22,0,,0
AZ,2020-09-22,5498,21900,214846
CA,2020-09-22,15071,,784324
CO,2020-09-22,2025,7416,66053
CT,2020-09-22,4496,11447,56160
DC,2020-09-22,621,,15021
DE,2020-09-22,628,,19761
FL,2020-09-22,13579,43261,679776
GA,2020-09-22,6677,27490,308221
GU,2020-09-22,37,,2190
HI,2020-09-22,120,735,11618
IA,2020-09-22,1286,,78887
ID,2020-09-22,447,1726,37901
IL,2020-09-22,8722,,279464
IN,2020-09-22,3520,12265,112626
KS,2020-09-22,600,2706,53959
KY,2020-09-22,1119,5075,62731
LA,2020-09-22,5386,,163253
MA,2020-09-22,9328,12571,127969
MD,2020-09-22,3895,15237,120912
ME,2020-09-22,140,442,5146
MI,2020-09-22,6997,,130357
MN,2020-09-22,2031,7253,91422
MO,2020-09-22,1864,,115366
MP,2020-09-22,2,4,69
MS,2020-09-22,2846,5607,94021
MT,2020-09-22,163,584,10700
NC,2020-09-22,3286,,195549
ND,2020-09-22,199,752,18473
NE,2020-09-22,452,2208,41388
NH,2020-09-22,438,727,7990
NJ,2020-09-22,16070,23170,205116
NM,2020-09-22,854,3371,27790
NV,2020-09-22,1546,,76298
NY,2020-09-22,25432,,451227
OH,2020-09-22,4635,14899,145850
OK,2020-09-22,962,5996,79072
OR,2020-09-22,529,2395,30995
PA,2020-09-22,8023,,151646
PR,2020-09-22,613,,20399
RI,2020-09-22,1099,2704,24044
SC,2020-09-22,3243,8851,140789
SD,2020-09-22,202,1323,19189
TN,2020-09-22,2261,8263,185148
TX,2020-09-22,14994,,716207
UT,2020-09-22,443,3550,65044
VA,2020-09-22,3060,10675,142010
VI,2020-09-22,19,,1276
VT,2020-09-22,58,,1724
WA,2020-09-22,2070,7314,85461
WI,2020-09-22,1259,6765,110327
WV,2020-09-22,317,,14384
WY,2020-09-22,49,253,5016
AK,2020-09-21,45,292,6930
AL,2020-09-21,2439,16487,145780
AR,2020-09-21,1197,4986,76364
AS,2020-09-21,0,,0
AZ,2020-09-21,5478,21878,214251
CA,2020-09-21,15018,,781694
CO,2020-09-21,2018,7373,65399
CT,2020-09-21,4495,11447,56024
DC,2020-09-21,621,,14978
DE,2020-09-21,627,,19667
FL,2020-09-21,13480,43033,677362
GA,2020-09-21,6604,27394,307339
GU,2020-09-21,35,,2147
HI,2020-09-21,120,730,11562
IA,2020-09-21,1274,,78339
ID,2020-09-21,443,1718,37491
IL,2020-09-21,8693,,277933
IN,2020-09-21,3512,12184,112027
KS,2020-09-21,600,2706,53959
KY,2020-09-21,1112,5051,61917
LA,2020-09-21,5375,,162501
MA,2020-09-21,9317,12553,127796
MD,2020-09-21,3883,15171,120568
ME,2020-09-21,140,440,5106
MI,2020-09-21,6981,,129662
MN,2020-09-21,2021,7199,90942
MO,2020-09-21,1807,,114307
MP,2020-09-21,2,4,69
MS,2020-09-21,2810,5607,93556
MT,2020-09-21,160,576,10429
NC,2020-09-21,3247,,194381
ND,2020-09-21,196,730,18209
NE,2020-09-21,442,2194,41083
NH,2020-09-21,438,726,7952
NJ,2020-09-21,16063,23135,204606
NM,2020-09-21,851,3358,27683
NV,2020-09-21,1531,,76036
NY,2020-09-21,25428,,450473
OH,2020-09-21,4623,14829,145165
OK,2020-09-21,948,5896,77908
OR,2020-09-21,526,2356,30801
PA,2020-09-21,8004,,150812
PR,2020-09-21,609,,20311
RI,2020-09-21,1097,2693,23932
SC,2020-09-21,3212,8779,138124
SD,2020-09-21,202,1297,18869
TN,2020-09-21,2233,8199,184409
TX,2020-09-21,14917,,698387
UT,2020-09-21,441,3520,64394
VA,2020-09-21,3021,10613,141138
VI,2020-09-21,19,,1269
VT,2020-09-21,58,,1722
WA,2020-09-21,2037,7262,85265
WI,2020-09-21,1252,6692,108588
WV,2020-09-21,312,,14171
WY,2020-09-21,49,247,4944
AK,2020-09-20,45,287,6860
AL,2020-09-20,2437,16227,144962
AR,2020-09-20,1181,4967,75723
AS,2020-09-20,0,,0
AZ,2020-09-20,5476,21876,214018
CA,2020-09-20,14987,,778400
CO,2020-09-20,2014,7363,64857
CT,2020-09-20,4492,11447,55527
DC,2020-09-20,620,,14955
DE,2020-09-20,621,,19566
FL,2020-09-20,13459,42939,675691
GA,2020-09-20,6602,27377,306155
GU,2020-09-20,34,,2117
HI,2020-09-20,120,726,11485
IA,2020-09-20,1265,,77679
ID,2020-09-20,441,1711,37247
IL,2020-09-20,8686,,276456
IN,2020-09-20,3506,12143,111505
KS,2020-09-20,596,2671,52285
KY,2020-09-20,1111,5026,61542
LA,2020-09-20,5366,,162258
MA,2020-09-20,9310,12545,127540
MD,2020-09-20,3879,15119,120156
ME,2020-09-20,139,439,5079
MI,2020-09-20,6969,,128087
MN,2020-09-20,2017,7163,90017
MO,2020-09-20,1795,,112844
MP,2020-09-20,2,4,68
MS,2020-09-20,2810,5499,93364
MT,2020-09-20,157,570,10299
NC,2020-09-20,3243,,193581
ND,2020-09-20,195,723,17925
NE,2020-09-20,442,2194,40797
NH,2020-09-20,438,725,7947
NJ,2020-09-20,16061,23130,204171
NM,2020-09-20,849,3341,27579
NV,2020-09-20,1531,,75804
NY,2020-09-20,25427,,449900
OH,2020-09-20,4615,14773,144309
OK,2020-09-20,946,5843,76807
OR,2020-09-20,525,2356,30599
PA,2020-09-20,7981,,150578
PR,2020-09-20,608,,20069
RI,2020-09-20,1094,2693,23880
SC,2020-09-20,3199,8738,137708
SD,2020-09-20,202,1288,18696
TN,2020-09-20,2218,8159,183514
TX,2020-09-20,14893,,688534
UT,2020-09-20,440,3494,63772
VA,2020-09-20,3015,10591,140511
VI,2020-09-20,19,,1269
VT,2020-09-20,58,,1718
WA,2020-09-20,2037,7248,84942
WI,2020-09-20,1250,6653,107292
WV,2020-09-20,310,,14054
WY,2020-09-20,49,243,4871
AK,2020-09-19,45,283,6752
AL,2020-09-19,2437,16227,144164
AR,2020-09-19,1173,4963,75160
AS,2020-09-19,0,,0
AZ,2020-09-19,5467,21882,213551
CA,2020-09-19,14912,,774135
CO,2020-09-19,2013,7357,64356
CT,2020-09-19,4492,11447,55527
DC,2020-09-19,619,,14902
DE,2020-09-19,621,,19449
FL,2020-09-19,13450,42858,673194
GA,2020-09-19,6599,27338,305021
GU,2020-09-19,34,,2117
HI,2020-09-19,120,700,11376
IA,2020-09-19,1264,,77058
ID,2020-09-19,438,1701,36959
IL,2020-09-19,8672,,275054
IN,2020-09-19,3503,12091,110759
KS,2020-09-19,596,2671,52285
KY,2020-09-19,1108,5026,61106
LA,2020-09-19,5340,,161322
MA,2020-09-19,9295,12537,127181
MD,2020-09-19,3876,15119,119744
ME,2020-09-19,139,439,5035
MI,2020-09-19,6969,,128087
MN,2020-09-19,2015,7124,88721
MO,2020-09-19,1793,,111516
MP,2020-09-19,2,4,62
MS,2020-09-19,2809,5499,93087
MT,2020-09-19,156,567,10163
NC,2020-09-19,3235,,192248
ND,2020-09-19,195,716,17573
NE,2020-09-19,442,2194,40387
NH,2020-09-19,438,725,7920
NJ,2020-09-19,16058,23120,203682
NM,2020-09-19,847,3335,27512
NV,2020-09-19,1528,,75419
NY,2020-09-19,25425,,449038
OH,2020-09-19,4612,14750,143547
OK,2020-09-19,943,5843,75804
OR,2020-09-19,521,2356,30342
PA,2020-09-19,7956,,149845
PR,2020-09-19,605,,19807
RI,2020-09-19,1091,2687,23798
SC,2020-09-19,3188,8708,137240
SD,2020-09-19,200,1268,18444
TN,2020-09-19,2216,8116,181439
TX,2020-09-19,14848,,686068
UT,2020-09-19,440,3477,62852
VA,2020-09-19,2990,10562,139655
VI,2020-09-19,19,,1242
VT,2020-09-19,58,,1713
WA,2020-09-19,2037,7215,84407
WI,2020-09-19,1249,6619,105557
WV,2020-09-19,308,,13874
WY,2020-09-19,49,242,4780
AK,2020-09-18,45,283,6658
AL,2020-09-18,2428,16227,142863
AR,2020-09-18,1173,4932,74082
AS,2020-09-18,0,,0
AZ,2020-09-18,5451,21865,212942
CA,2020-09-18,14812,,769831
CO,2020-09-18,2009,7347,63750
CT,2020-09-18,4492,11447,55527
DC,2020-09-18,619,,14852
DE,2020-09-18,620,,19366
FL,2020-09-18,13387,42715,669684
GA,2020-09-18,6537,27203,302737
GU,2020-09-18,33,,2074
HI,2020-09-18,107,685,11239
IA,2020-09-18,1260,,76211
ID,2020-09-18,434,1682,36489
IL,2020-09-18,8647,,272525
IN,2020-09-18,3495,12035,109683
KS,2020-09-18,596,2671,52285
KY,2020-09-18,1101,5002,60128
LA,2020-09-18,5340,,161322
MA,2020-09-18,9269,12514,126582
MD,2020-09-18,3869,15070,119062
ME,2020-09-18,138,437,5005
MI,2020-09-18,6954,,127500
MN,2020-09-18,2002,7091,87807
MO,2020-09-18,1780,,110129
MP,2020-09-18,2,4,62
MS,2020-09-18,2780,5499,91935
MT,2020-09-18,146,555,9871
NC,2020-09-18,3207,,191019
ND,2020-09-18,187,705,17195
NE,2020-09-18,442,2181,39921
NH,2020-09-18,438,725,7861
NJ,2020-09-18,16055,23096,203172
NM,2020-09-18,841,3320,27350
NV,2020-09-18,1524,,75096
NY,2020-09-18,25423,,448052
OH,2020-09-18,4608,14687,142596
OK,2020-09-18,939,5755,74567
OR,2020-09-18,521,2341,29850
PA,2020-09-18,7934,,148683
PR,2020-09-18,599,,19113
RI,2020-09-18,1088,2675,23620
SC,2020-09-18,3177,8669,136318
SD,2020-09-18,198,1246,18075
TN,2020-09-18,2196,8063,180497
TX,2020-09-18,14713,,682241
UT,2020-09-18,437,3444,61775
VA,2020-09-18,2949,10520,138702
VI,2020-09-18,19,,1242
VT,2020-09-18,58,,1709
WA,2020-09-18,2037,7215,83929
WI,2020-09-18,1246,6569,103154
WV,2020-09-18,297,,13683
WY,2020-09-18,49,240,4747
AK,2020-09-17,44,280,6551
AL,2020-09-17,2401,16079,141757
AR,2020-09-17,1166,4896,73211
AS,2020-09-17,0,,0
AZ,2020-09-17,5409,21821,211660
CA,2020-09-17,14721,,766201
CO,2020-09-17,2006,7327,63145
CT,2020-09-17,4488,11447,55386
DC,2020-09-17,619,,14790
DE,2020-09-17,619,,19318
FL,2020-09-17,13247,42525,666507
GA,2020-09-17,6474,27054,300903
GU,2020-09-17,31,,2045
HI,2020-09-17,103,667,11080
IA,2020-09-17,1251,,75028
ID,2020-09-17,429,1658,36093
IL,2020-09-17,8624,,270302
IN,2020-09-17,3478,11982,108646
KS,2020-09-17,586,2616,50870
KY,2020-09-17,1093,4976,59370
LA,2020-09-17,5311,,160343
MA,2020-09-17,9260,12496,126128
MD,2020-09-17,3861,15008,118519
ME,2020-09-17,138,436,4962
MI,2020-09-17,6955,,126722
MN,2020-09-17,1994,7050,86722
MO,2020-09-17,1757,,108334
MP,2020-09-17,2,4,62
MS,2020-09-17,2780,5499,91935
MT,2020-09-17,143,549,9647
NC,2020-09-17,3180,,189576
ND,2020-09-17,185,691,16690
NE,2020-09-17,439,2172,39419
NH,2020-09-17,438,725,7814
NJ,2020-09-17,16051,23071,202621
NM,2020-09-17,836,3313,27199
NV,2020-09-17,1506,,74595
NY,2020-09-17,25413,,447262
OH,2020-09-17,4580,14625,141585
OK,2020-09-17,930,5698,73318
OR,2020-09-17,521,2319,29850
PA,2020-09-17,7913,,147923
PR,2020-09-17,588,,18634
RI,2020-09-17,1085,2668,23488
SC,2020-09-17,3158,8611,135446
SD,2020-09-17,193,1231,17686
TN,2020-09-17,2164,7979,178140
TX,2020-09-17,14590,,678819
UT,2020-09-17,437,3401,60658
VA,2020-09-17,2920,10464,137460
VI,2020-09-17,19,,1238
VT,2020-09-17,58,,1707
WA,2020-09-17,2031,7196,83458
WI,2020-09-17,1239,6522,100574
WV,2020-09-17,294,,13430
WY,2020-09-17,49,236,4652
AK,2020-09-16,44,279,6443
AL,2020-09-16,2392,15942,141087
AR,2020-09-16,1157,4840,72219
AS,2020-09-16,0,,0
AZ,2020-09-16,5371,21825,209907
CA,2020-09-16,14615,,762963
CO,2020-09-16,2002,7288,62686
CT,2020-09-16,4487,11357,55166
DC,2020-09-16,617,,14743
DE,2020-09-16,619,,19234
FL,2020-09-16,13100,42327,663234
GA,2020-09-16,6419,26884,299056
GU,2020-09-16,29,,2013
HI,2020-09-16,100,654,10978
IA,2020-09-16,1237,,74080
ID,2020-09-16,423,1631,35810
IL,2020-09-16,8599,,268246
IN,2020-09-16,3472,11918,107809
KS,2020-09-16,586,2616,50870
KY,2020-09-16,1082,4927,58764
LA,2020-09-16,5294,,159865
MA,2020-09-16,9245,12478,125699
MD,2020-09-16,3855,14959,117888
ME,2020-09-16,138,433,4941
MI,2020-09-16,6943,,125742
MN,2020-09-16,1985,7019,85813
MO,2020-09-16,1739,,106587
MP,2020-09-16,2,4,61
MS,2020-09-16,2756,5499,91234
MT,2020-09-16,141,543,9431
NC,2020-09-16,3149,,188024
ND,2020-09-16,175,674,16298
NE,2020-09-16,436,2167,38970
NH,2020-09-16,438,723,7780
NJ,2020-09-16,16048,23032,201985
NM,2020-09-16,832,3294,27041
NV,2020-09-16,1494,,74248
NY,2020-09-16,25410,,446366
OH,2020-09-16,4555,14560,140518
OK,2020-09-16,924,5610,72284
OR,2020-09-16,519,2292,29662
PA,2020-09-16,7903,,146990
PR,2020-09-16,570,,18252
RI,2020-09-16,1081,2662,23358
SC,2020-09-16,3132,8552,134122
SD,2020-09-16,192,1211,17291
TN,2020-09-16,2151,7922,177087
TX,2020-09-16,14478,,674772
UT,2020-09-16,437,3381,59747
VA,2020-09-16,2884,10389,136359
VI,2020-09-16,19,,1232
VT,2020-09-16,58,,1704
WA,2020-09-16,2020,7162,82976
WI,2020-09-16,1237,6454,98440
WV,2020-09-16,290,,13196
WY,2020-09-16,46,235,4566
AK,2020-09-15,44,278,6393
AL,2020-09-15,2387,15756,140160
AR,2020-09-15,1010,4802,71357
AS,2020-09-15,0,,0
AZ,2020-09-15,5344,21800,209209
CA,2020-09-15,14451,,760013
CO,2020-09-15,1996,7262,62099
CT,2020-09-15,4485,11357,55031
DC,2020-09-15,616,,14687
DE,2020-09-15,618,,19137
FL,2020-09-15,12946,42127,660946
GA,2020-09-15,6398,26665,296833
GU,2020-09-15,28,,1966
HI,2020-09-15,99,638,10913
IA,2020-09-15,1234,,73277
ID,2020-09-15,419,1612,35532
IL,2020-09-15,8564,,266305
IN,2020-09-15,3460,11858,107229
KS,2020-09-15,534,2572,49899
KY,2020-09-15,1074,4924,58000
LA,2020-09-15,5278,,159253
MA,2020-09-15,9225,12462,125393
MD,2020-09-15,3849,14918,117245
ME,2020-09-15,137,432,4918
MI,2020-09-15,6932,,124969
MN,2020-09-15,1979,6979,85351
MO,2020-09-15,1732,,105396
MP,2020-09-15,2,4,61
MS,2020-09-15,2734,5499,90523
MT,2020-09-15,140,539,9244
NC,2020-09-15,3111,,186887
ND,2020-09-15,175,657,16033
NE,2020-09-15,435,2154,38642
NH,2020-09-15,438,722,7748
NJ,2020-09-15,16039,23003,201540
NM,2020-09-15,830,3284,26923
NV,2020-09-15,1482,,74040
NY,2020-09-15,25405,,445714
OH,2020-09-15,4506,14481,139485
OK,2020-09-15,912,5562,71314
OR,2020-09-15,511,2279,29484
PA,2020-09-15,7875,,146214
PR,2020-09-15,551,,18206
RI,2020-09-15,1078,2650,23250
SC,2020-09-15,3098,8502,133470
SD,2020-09-15,184,1195,16994
TN,2020-09-15,2127,7848,175231
TX,2020-09-15,14343,,668746
UT,2020-09-15,436,3361,59000
VA,2020-09-15,2839,10337,135514
VI,2020-09-15,19,,1225
VT,2020-09-15,58,,1702
WA,2020-09-15,2015,7127,82465
WI,2020-09-15,1229,6406,96938
WV,2020-09-15,280,,12976
WY,2020-09-15,46,230,4438
AK,2020-09-14,44,275,6350
AL,2020-09-14,2355,15756,139459
AR,2020-09-14,992,4736,70627
AS,2020-09-14,0,,0
AZ,2020-09-14,5322,21774,208725
CA,2020-09-14,14385,,757778
CO,2020-09-14,1990,7240,61699
CT,2020-09-14,4485,11357,54895
DC,2020-09-14,616,,14622
DE,2020-09-14,617,,18937
FL,2020-09-14,12800,41846,658203
GA,2020-09-14,6353,26394,295337
GU,2020-09-14,26,,1927
HI,2020-09-14,99,636,10834
IA,2020-09-14,1224,,72876
ID,2020-09-14,415,1604,35279
IL,2020-09-14,8546,,264839
IN,2020-09-14,3439,11796,106540
KS,2020-09-14,534,2572,49899
KY,2020-09-14,1065,4905,57282
LA,2020-09-14,5252,,158882
MA,2020-09-14,9219,12442,125080
MD,2020-09-14,3839,14884,116646
ME,2020-09-14,136,431,4903
