state,date,death,hospitalized,positive
CA,2021-03-03,52775,,3484963
CO,2021-03-03,5970,23735,431670
CT,2021-03-03,7678,,283622
DC,2021-03-03,1023,,40818
DE,2021-03-03,1440,,87425
FL,2021-03-03,31829,81278,1888725
GA,2021-03-03,17625,56369,1014542
GU,2021-03-03,131,,7745
HI,2021-03-03,441,2226,28407
IA,2021-03-03,5501,,280991
ID,2021-03-03,1871,7131,171836
IL,2021-03-03,22853,,1191520
IN,2021-03-03,12633,42955,663511
KS,2021-03-03,4816,9355,295109
KY,2021-03-03,4704,19304,407373
LA,2021-03-03,9668,,431771
MA,2021-03-03,16252,19713,584743
MD,2021-03-03,7919,35223,383956
ME,2021-03-03,705,1545,45091
MI,2021-03-03,16550,,650762
MN,2021-03-03,6507,25863,486434
MO,2021-03-03,8148,,479069
MP,2021-03-03,2,4,144
MS,2021-03-03,6743,9162,295675
MT,2021-03-03,1373,4600,100351
NC,2021-03-03,11363,,865554
ND,2021-03-03,1478,3871,100067
NE,2021-03-03,2091,6147,201608
NH,2021-03-03,1175,1123,75990
NJ,2021-03-03,23449,64050,799476
NM,2021-03-03,3753,13190,185898
NV,2021-03-03,4987,,294684
NY,2021-03-03,38735,,1650184
OH,2021-03-03,17189,50613,972605
OK,2021-03-03,4534,24064,425746
OR,2021-03-03,2225,8653,156037
PA,2021-03-03,24169,,938411
PR,2021-03-03,2048,,100765
RI,2021-03-03,2534,8982,127285
SC,2021-03-03,8620,20501,519996
SD,2021-03-03,1893,6654,112833
TN,2021-03-03,11459,18742,777935
TX,2021-03-03,43563,,2663414
UT,2021-03-03,1955,14783,372708
VA,2021-03-03,9326,24354,580108
VI,2021-03-03,25,,2695
VT,2021-03-03,207,,15487
WA,2021-03-03,4988,19433,341441
WI,2021-03-03,7069,26279,619087
WV,2021-03-03,2309,,132416
WY,2021-03-03,682,1388,54616
AK,2021-03-02,302,1286,56428
AL,2021-03-02,9991,45699,494421
AR,2021-03-02,5254,14795,322949
AS,2021-03-02,0,,0
AZ,2021-03-02,16060,57591,818670
CA,2021-03-02,52497,,3481611
CO,2021-03-02,5959,23593,430615
CT,2021-03-02,7658,,283128
DC,2021-03-02,1019,,40767
DE,2021-03-02,1426,,87193
FL,2021-03-02,31696,80972,1882865
GA,2021-03-02,17480,56251,1011807
GU,2021-03-02,131,,7742
HI,2021-03-02,439,2226,28390
IA,2021-03-02,5498,,280509
ID,2021-03-02,1867,7111,171462
IL,2021-03-02,22803,,1189416
IN,2021-03-02,12623,42862,662750
KS,2021-03-02,4743,9290,294302
KY,2021-03-02,4671,19234,406201
LA,2021-03-02,9647,,431271
MA,2021-03-02,16182,19444,582844
MD,2021-03-02,7905,35152,383170
ME,2021-03-02,703,1536,44944
MI,2021-03-02,16544,,649057
MN,2021-03-02,6490,25826,485655
MO,2021-03-02,7932,,478682
MP,2021-03-02,2,4,143
MS,2021-03-02,6724,9162,295295
MT,2021-03-02,1372,4591,100158
NC,2021-03-02,11288,,863409
ND,2021-03-02,1477,3874,99957
NE,2021-03-02,2084,6140,201346
NH,2021-03-02,1170,1119,75803
NJ,2021-03-02,23321,63917,795785
NM,2021-03-02,3740,13148,185542
NV,2021-03-02,4967,,294289
NY,2021-03-02,38660,,1642480
OH,2021-03-02,17189,50503,970583
OK,2021-03-02,4534,23999,424999
OR,2021-03-02,2212,8621,155787
PA,2021-03-02,24100,,935834
PR,2021-03-02,2040,,100735
RI,2021-03-02,2525,8966,126849
SC,2021-03-02,8576,20428,518823
SD,2021-03-02,1888,6640,112652
TN,2021-03-02,11436,18679,776337
TX,2021-03-02,43266,,2655592
UT,2021-03-02,1949,14753,371979
VA,2021-03-02,8943,24258,578559
VI,2021-03-02,25,,2646
VT,2021-03-02,206,,15372
WA,2021-03-02,4969,19372,340708
WI,2021-03-02,7050,26222,618307
